,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,label
0,25,4,226802,1,7,4,7,3,2,1,0,0,40,39,0,4
1,38,4,89814,11,9,2,5,0,4,1,0,0,50,39,0,2
2,28,2,336951,7,12,2,11,0,4,1,0,0,40,39,1,3
3,44,4,160323,15,10,2,7,0,2,1,7688,0,40,39,1,1
4,18,0,103497,15,10,4,0,3,4,0,0,0,30,39,0,2
5,34,4,198693,0,6,4,8,1,4,1,0,0,30,39,0,1
6,29,0,227026,11,9,4,0,4,2,1,0,0,40,39,0,4
7,63,6,104626,14,15,2,10,0,4,1,3103,0,32,39,1,2
8,24,4,369667,15,10,4,8,4,4,0,0,0,40,39,0,3
9,55,4,104996,5,4,2,3,0,4,1,0,0,10,39,0,2
10,65,4,184454,11,9,2,7,0,4,1,6418,0,40,39,1,1
11,36,1,212465,9,13,2,1,0,4,1,0,0,40,39,0,1
12,26,4,82091,11,9,4,1,1,4,0,0,0,39,39,0,2
13,58,0,299831,11,9,2,0,0,4,1,0,0,35,39,0,4
14,48,4,279724,11,9,2,7,0,4,1,3103,0,48,39,1,4
15,43,4,346189,12,14,2,4,0,4,1,0,0,50,39,1,3
16,20,7,444554,15,10,4,8,3,4,1,0,0,25,39,0,3
17,43,4,128354,11,9,2,1,5,4,0,0,0,30,39,0,1
18,37,4,60548,11,9,6,7,4,4,0,0,0,20,39,0,2
19,40,4,85019,10,16,2,10,0,1,1,0,0,45,0,1,2
20,34,4,107914,9,13,2,13,0,4,1,0,0,47,39,1,2
21,34,4,238588,15,10,4,8,3,2,0,0,0,35,39,0,4
22,72,0,132015,5,4,0,0,1,4,0,0,0,6,39,0,1
23,25,4,220931,9,13,4,10,1,4,1,0,0,43,29,0,4
24,25,4,205947,9,13,2,10,0,4,1,0,0,40,39,0,1
25,45,6,432824,11,9,2,3,0,4,1,7298,0,90,39,1,3
26,22,4,236427,11,9,4,1,3,4,1,0,0,20,39,0,4
27,23,4,134446,11,9,5,7,4,2,1,0,0,54,39,0,1
28,54,4,99516,11,9,2,3,0,4,1,0,0,35,39,0,2
29,32,6,109282,15,10,4,10,1,4,1,0,0,60,39,0,2
30,46,7,106444,15,10,2,4,0,2,1,7688,0,38,39,1,2
31,56,6,186651,1,7,6,8,4,4,0,0,0,50,39,0,1
32,24,6,188274,9,13,4,12,1,4,1,0,0,50,39,0,1
33,23,2,258120,15,10,2,11,0,4,1,0,0,40,39,0,4
34,26,4,43311,11,9,0,4,4,4,0,0,0,40,39,0,2
